Source,Target
,ISSUED TO COATING-ULTRA TC-GRG
,ISSUED TO COATING TMC(FF)-GRG
,ISSUED TO COATING TMC(SF)-GRG
,ISSUED TO COATING TMC-OTHERS-GRG
,ISSUED TO COATING-TMC (A2)-GRG
,ISSUED TO COATING-TMC(A14)-GRG
,ISSUED TO COATING-TMC(A14-FF)-GRG
,ISSUED TO COATING-TMC(A14-SF)-GRG
,ISSUED TO COATING-TMC-GRG
,RETURNED TO COATING TMC(FF)-GRG
,RETURNED TO COATING TMC(SF)-GRG
,RETURNED TO COATING TMC-OTHERS-GRG
,RETURNED TO COATING-TMC (A2)-GRG
,RETURNED TO COATING-TMC(A14)-GRG
,RETURNED TO COATING-TMC(A14-FF)-GRG
,RETURNED TO COATING-TMC(A14-SF)-GRG
,RETURNED TO COATING-TMC-GRG
,ISSUED TO COATING-QC (A14)-GRG
,ISSUED TO COATING-QC (A14-FF)-GRG
,ISSUED TO COATING-QC (A14-SF)-GRG
,ISSUED TO COATING-QC (A2)-GRG
,RETURNED TO COATING-QC (A14)-GRG
,RETURNED TO COATING-QC (A14-FF)-GRG
,RETURNED TO COATING-QC (A14-SF)-GRG
,RETURNED TO COATING-QC (A2)-GRG
,ISSUED TO FINAL FITTING-QC (A2)- GRG
,ISSUED TO FINAL-FITTING-QC (A14)-GRG
,ISSUED TO FINAL-FITTING-QC-GRG
,ISSUED TO FITTING (A14)-GRG
,ISSUED TO FITTING (A2)-GRG
,ISSUED TO FITTING-GRG
,ISSUED TO FITTING-QC IN (A2)-GRG
,ISSUED TO FITTING-QC-IN (A14)-GRG
,ISSUED TO FITTING-QC-IN-GRG
,RETURNED TO FINAL FITTING-QC (A2)- GRG
,RETURNED TO FINAL-FITTING-QC (A14)-GRG
,RETURNED TO FINAL-FITTING-QC-GRG
,RETURNED TO FITTING (A14)-GRG
,RETURNED TO FITTING (A2)-GRG
,RETURNED TO FITTING-GRG
,RETURNED TO FITTING-QC IN (A2)-GRG
,RETURNED TO FITTING-QC-IN (A14)-GRG
,RETURNED TO FITTING-QC-IN-GRG
